,EmployeeNumber,Gender,EducationField,Age,MaritalStatus,Department,JobRole,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
775,1076,Male,Medical,43,Divorced,Sales,Sales Executive,No,Travel_Rarely,415,25,3,3,79,2,3,4,10798,5268,5,No,13,3,3,1,18,5,3,1,0,0,0
776,1077,Female,Marketing,20,Single,Sales,Sales Representative,Yes,Travel_Frequently,769,9,3,4,54,3,1,4,2323,17205,1,Yes,14,3,2,0,2,3,3,2,2,0,2
777,1079,Female,Life Sciences,21,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1334,10,3,3,36,2,1,1,1416,17258,1,No,13,3,1,0,1,6,2,1,0,1,0
778,1080,Female,Life Sciences,46,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1003,8,4,4,74,2,2,1,4615,21029,8,Yes,23,4,1,3,19,2,3,16,13,1,7
779,1081,Male,Life Sciences,51,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,1323,4,4,1,34,3,1,3,2461,10332,9,Yes,12,3,3,3,18,2,4,10,0,2,7
780,1082,Male,Technical Degree,28,Single,Research & Development,Healthcare Representative,Yes,Non-Travel,1366,24,2,2,72,2,3,1,8722,12355,1,No,12,3,1,0,10,2,2,10,7,1,9
781,1083,Male,Medical,26,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,192,1,2,1,59,2,1,1,3955,11141,1,No,16,3,1,2,6,2,3,5,3,1,3
782,1084,Male,Other,30,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,1176,20,3,3,85,3,2,1,9957,9096,0,No,15,3,3,1,7,1,2,6,2,0,2
783,1085,Female,Technical Degree,41,Married,Research & Development,Research Scientist,No,Travel_Rarely,509,7,2,2,43,4,1,3,3376,18863,1,No,13,3,3,0,10,3,3,10,6,0,8
784,1088,Female,Life Sciences,38,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,330,17,1,3,65,2,3,3,8823,24608,0,No,18,3,1,1,20,4,2,19,9,1,9
785,1092,Male,Technical Degree,40,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,1492,20,4,1,61,3,3,4,10322,26542,4,No,20,4,4,1,14,6,3,11,10,11,1
786,1094,Male,Life Sciences,27,Married,Research & Development,Laboratory Technician,No,Non-Travel,1277,8,5,1,87,1,1,3,4621,5869,1,No,19,3,4,3,3,4,3,3,2,1,2
787,1096,Male,Life Sciences,55,Married,Research & Development,Manufacturing Director,No,Travel_Frequently,1091,2,1,4,65,3,3,2,10976,15813,3,No,18,3,2,1,23,4,3,3,2,1,2
788,1097,Female,Other,28,Single,Research & Development,Research Scientist,No,Travel_Rarely,857,10,3,3,59,3,2,3,3660,7909,3,No,13,3,4,0,10,4,4,8,7,1,7
789,1098,Male,Medical,44,Married,Human Resources,Human Resources,Yes,Travel_Rarely,1376,1,2,2,91,2,3,1,10482,2326,9,No,14,3,4,1,24,1,3,20,6,3,6
790,1099,Male,Life Sciences,33,Divorced,Research & Development,Healthcare Representative,No,Travel_Rarely,654,5,3,4,34,2,3,4,7119,21214,4,No,15,3,3,1,9,2,3,3,2,1,2
791,1100,Male,Technical Degree,35,Single,Sales,Sales Executive,Yes,Travel_Rarely,1204,4,3,4,86,3,3,1,9582,10333,0,Yes,22,4,1,0,9,2,3,8,7,4,7
792,1101,Female,Medical,33,Single,Research & Development,Research Scientist,Yes,Travel_Frequently,827,29,4,1,54,2,2,3,4508,3129,1,No,22,4,2,0,14,4,3,13,7,3,8
793,1102,Male,Life Sciences,28,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,895,15,2,1,50,3,1,3,2207,22482,1,No,16,3,4,1,4,5,2,4,2,2,2
794,1103,Male,Life Sciences,34,Single,Research & Development,Healthcare Representative,No,Travel_Frequently,618,3,1,1,45,3,2,4,7756,22266,0,No,17,3,3,0,7,1,2,6,2,0,4
795,1105,Female,Life Sciences,37,Divorced,Sales,Sales Executive,No,Travel_Rarely,309,10,4,4,88,2,2,4,6694,24223,2,Yes,14,3,3,3,8,5,3,1,0,0,0
796,1106,Male,Technical Degree,25,Married,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1219,4,1,4,32,3,1,4,3691,4605,1,Yes,15,3,2,1,7,3,4,7,7,5,6
797,1107,Male,Medical,26,Divorced,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1330,21,3,1,37,3,1,3,2377,19373,1,No,20,4,3,1,1,0,2,1,1,0,0
798,1108,Male,Medical,33,Single,Research & Development,Research Scientist,Yes,Travel_Rarely,1017,25,3,1,55,2,1,2,2313,2993,4,Yes,20,4,2,0,5,0,3,2,2,2,2
799,1109,Male,Medical,42,Married,Research & Development,Manager,No,Travel_Rarely,469,2,2,4,35,3,4,1,17665,14399,0,No,17,3,4,1,23,3,3,22,6,13,7
800,1111,Male,Medical,28,Divorced,Research & Development,Laboratory Technician,Yes,Travel_Frequently,1009,1,3,1,45,2,1,2,2596,7160,1,No,15,3,1,2,1,2,3,1,0,0,0
801,1113,Male,Other,50,Single,Sales,Sales Executive,Yes,Travel_Frequently,959,1,4,4,81,3,2,3,4728,17251,3,Yes,14,3,4,0,5,4,3,0,0,0,0
802,1114,Female,Life Sciences,33,Married,Sales,Sales Executive,No,Travel_Frequently,970,7,3,4,30,3,2,2,4302,13401,0,No,17,3,3,1,4,3,3,3,2,0,2
803,1115,Male,Life Sciences,34,Married,Research & Development,Research Scientist,No,Non-Travel,697,3,4,3,40,2,1,4,2979,22478,3,No,17,3,4,3,6,2,3,0,0,0,0
804,1116,Male,Medical,48,Single,Research & Development,Manager,No,Non-Travel,1262,1,4,1,35,4,4,4,16885,16154,2,No,22,4,3,0,27,3,2,5,4,2,1
805,1117,Female,Life Sciences,45,Married,Sales,Sales Executive,No,Non-Travel,1050,9,4,2,65,2,2,3,5593,17970,1,No,13,3,4,1,15,2,3,15,10,4,12
806,1118,Male,Life Sciences,52,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,994,7,4,2,87,3,3,2,10445,15322,7,No,19,3,4,0,18,4,3,8,6,4,0
807,1119,Male,Marketing,38,Divorced,Sales,Sales Executive,No,Travel_Rarely,770,10,4,3,73,2,3,3,8740,5569,0,Yes,14,3,2,2,9,2,3,8,7,2,7
808,1120,Female,Life Sciences,29,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1107,28,4,3,93,3,1,4,2514,26968,4,No,22,4,1,1,11,1,3,7,5,1,7
809,1121,Female,Medical,28,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,950,3,3,4,93,3,3,2,7655,8039,0,No,17,3,2,3,10,3,2,9,7,1,7
810,1124,Male,Marketing,46,Married,Sales,Manager,No,Travel_Rarely,406,3,1,1,52,3,4,3,17465,15596,3,No,12,3,4,1,23,3,3,12,9,4,9
811,1125,Male,Marketing,38,Single,Sales,Sales Executive,No,Travel_Rarely,130,2,2,4,32,3,3,2,7351,20619,7,No,16,3,3,0,10,2,3,1,0,0,0
812,1126,Female,Life Sciences,43,Married,Research & Development,Manufacturing Director,No,Travel_Frequently,1082,27,3,3,83,3,3,1,10820,11535,8,No,11,3,3,1,18,1,3,8,7,0,1
813,1127,Male,Life Sciences,39,Divorced,Research & Development,Healthcare Representative,Yes,Travel_Frequently,203,2,3,1,84,3,4,4,12169,13547,7,No,11,3,4,3,21,4,3,18,7,11,5
814,1128,Male,Medical,40,Single,Research & Development,Research Director,No,Travel_Rarely,1308,14,3,3,44,2,5,3,19626,17544,1,No,14,3,1,0,21,2,4,20,7,4,9
815,1131,Female,Technical Degree,21,Single,Research & Development,Research Scientist,No,Travel_Rarely,984,1,1,4,70,2,1,2,2070,25326,1,Yes,11,3,3,0,2,6,4,2,2,2,2
816,1132,Male,Life Sciences,39,Single,Research & Development,Laboratory Technician,No,Non-Travel,439,9,3,3,70,3,2,2,6782,8770,9,No,15,3,3,0,9,2,2,5,4,0,3
817,1133,Male,Life Sciences,36,Single,Research & Development,Manufacturing Director,No,Non-Travel,217,18,4,1,78,3,2,4,7779,23238,2,No,20,4,1,0,18,0,3,11,9,0,9
818,1135,Male,Life Sciences,31,Married,Sales,Sales Representative,No,Travel_Frequently,793,20,3,3,67,4,1,4,2791,21981,0,No,12,3,1,1,3,4,3,2,2,2,2
819,1136,Male,Life Sciences,28,Married,Research & Development,Research Scientist,No,Travel_Rarely,1451,2,1,1,67,2,1,2,3201,19911,0,No,17,3,1,0,6,2,1,5,3,0,4
820,1137,Male,Marketing,35,Divorced,Sales,Sales Executive,No,Travel_Frequently,1182,11,2,4,54,3,2,4,4968,18500,1,No,11,3,4,1,5,3,3,5,2,0,2
821,1138,Male,Technical Degree,49,Married,Sales,Sales Executive,No,Travel_Rarely,174,8,4,4,56,2,4,2,13120,11879,6,No,17,3,2,1,22,3,3,9,8,2,3
822,1140,Male,Life Sciences,34,Single,Research & Development,Manufacturing Director,No,Travel_Frequently,1003,2,2,4,95,3,2,3,4033,15834,2,No,11,3,4,0,5,3,2,3,2,0,2
823,1143,Female,Life Sciences,29,Divorced,Research & Development,Research Scientist,No,Travel_Frequently,490,10,3,4,61,3,1,2,3291,17940,0,No,14,3,4,2,8,2,2,7,5,1,1
824,1148,Male,Medical,42,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,188,29,3,2,56,1,2,4,4272,9558,4,No,19,3,1,0,16,3,3,1,0,0,0
825,1150,Male,Medical,29,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,718,8,1,2,79,2,2,4,5056,17689,1,Yes,15,3,3,1,10,2,2,10,7,1,2
826,1152,Male,Human Resources,38,Married,Human Resources,Human Resources,No,Travel_Rarely,433,1,3,3,37,4,1,3,2844,6004,1,No,13,3,4,1,7,2,4,7,6,5,0
827,1154,Male,Life Sciences,28,Divorced,Research & Development,Research Scientist,No,Travel_Frequently,773,6,3,3,39,2,1,3,2703,22088,1,Yes,14,3,4,1,3,2,3,3,1,0,2
828,1156,Male,Medical,18,Single,Research & Development,Laboratory Technician,Yes,Non-Travel,247,8,1,3,80,3,1,3,1904,13556,1,No,12,3,4,0,0,0,3,0,0,0,0
829,1157,Female,Marketing,33,Single,Sales,Sales Executive,Yes,Travel_Rarely,603,9,4,1,77,3,2,1,8224,18385,0,Yes,17,3,1,0,6,3,3,5,2,0,3
830,1158,Male,Life Sciences,41,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,167,12,4,2,46,3,1,4,4766,9051,3,Yes,11,3,1,1,6,4,3,1,0,0,0
831,1160,Male,Medical,31,Married,Research & Development,Laboratory Technician,Yes,Travel_Frequently,874,15,3,3,72,3,1,3,2610,6233,1,No,12,3,3,1,2,5,2,2,2,2,2
832,1161,Female,Medical,37,Divorced,Research & Development,Healthcare Representative,No,Travel_Rarely,367,25,2,3,52,2,2,4,5731,17171,7,No,13,3,3,2,9,2,3,6,2,1,3
833,1162,Male,Life Sciences,27,Married,Research & Development,Research Scientist,No,Travel_Rarely,199,6,3,4,55,2,1,3,2539,7950,1,No,13,3,3,1,4,0,3,4,2,2,2
834,1163,Female,Life Sciences,34,Married,Sales,Sales Executive,No,Travel_Rarely,1400,9,1,2,70,3,2,3,5714,5829,1,No,20,4,1,0,6,3,2,6,5,1,3
835,1164,Male,Technical Degree,35,Single,Human Resources,Human Resources,No,Travel_Rarely,528,8,4,3,100,3,1,3,4323,7108,1,No,17,3,2,0,6,2,1,5,4,1,4
836,1165,Female,Life Sciences,29,Married,Sales,Sales Executive,Yes,Travel_Rarely,408,23,1,4,45,2,3,1,7336,11162,1,No,13,3,1,1,11,3,1,11,8,3,10
837,1166,Female,Medical,40,Single,Research & Development,Research Director,No,Travel_Frequently,593,9,4,2,88,3,3,3,13499,13782,9,No,17,3,3,0,20,3,2,18,7,2,13
838,1167,Male,Life Sciences,42,Single,Sales,Sales Executive,Yes,Travel_Frequently,481,12,3,3,44,3,4,1,13758,2447,0,Yes,12,3,2,0,22,2,2,21,9,13,14
839,1171,Male,Marketing,42,Single,Sales,Sales Executive,No,Travel_Rarely,647,4,4,2,45,3,2,1,5155,2253,7,No,13,3,4,0,9,3,4,6,4,1,5
840,1172,Male,Medical,35,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,982,1,4,4,58,2,1,3,2258,16340,6,No,12,3,2,1,10,2,3,8,0,1,7
841,1173,Male,Medical,24,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,477,24,3,4,49,3,1,2,3597,6409,8,No,22,4,4,0,6,2,3,4,3,1,2
842,1175,Female,Life Sciences,28,Married,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1485,12,1,3,79,3,1,4,2515,22955,1,Yes,11,3,4,0,1,4,2,1,1,0,0
843,1177,Male,Medical,26,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1384,3,4,1,82,4,1,4,4420,13421,1,No,22,4,2,1,8,2,3,8,7,0,7
844,1179,Male,Marketing,30,Married,Sales,Sales Executive,No,Travel_Rarely,852,10,3,3,72,2,2,3,6578,2706,1,No,18,3,1,1,10,3,3,10,3,1,4
845,1180,Female,Medical,40,Married,Research & Development,Research Scientist,No,Travel_Frequently,902,26,2,3,92,2,2,4,4422,21203,3,Yes,13,3,4,1,16,3,1,1,1,0,0
846,1182,Male,Life Sciences,35,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,819,2,3,3,44,2,3,2,10274,19588,2,No,18,3,2,1,15,2,4,7,7,6,4
847,1184,Male,Medical,34,Single,Research & Development,Healthcare Representative,No,Travel_Frequently,669,1,3,4,97,2,2,1,5343,25755,0,No,20,4,3,0,14,3,3,13,9,4,9
848,1185,Male,Other,35,Married,Research & Development,Laboratory Technician,No,Travel_Frequently,636,4,4,4,47,2,1,4,2376,26537,1,No,13,3,2,1,2,2,4,2,2,2,2
849,1188,Female,Marketing,43,Single,Sales,Sales Executive,Yes,Travel_Rarely,1372,9,3,1,85,1,2,3,5346,9489,8,No,13,3,2,0,7,2,2,4,3,1,3
850,1190,Female,Life Sciences,32,Divorced,Sales,Sales Representative,No,Non-Travel,862,2,1,3,76,3,1,1,2827,14947,1,No,12,3,3,3,1,3,3,1,0,0,0
851,1191,Female,Technical Degree,56,Divorced,Research & Development,Manager,No,Travel_Rarely,718,4,4,4,92,3,5,1,19943,18575,4,No,13,3,4,1,28,2,3,5,2,4,2
852,1192,Female,Medical,29,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1401,6,1,2,54,3,1,4,3131,26342,1,No,13,3,1,1,10,5,3,10,8,0,8
853,1193,Male,Life Sciences,19,Single,Research & Development,Research Scientist,No,Travel_Rarely,645,9,2,3,54,3,1,1,2552,7172,1,No,25,4,3,0,1,4,3,1,1,0,0
854,1195,Female,Medical,45,Married,Research & Development,Research Scientist,No,Travel_Rarely,1457,7,3,1,83,3,1,3,4477,20100,4,Yes,19,3,3,1,7,2,2,3,2,0,2
855,1196,Female,Life Sciences,37,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,977,1,3,4,56,2,2,4,6474,9961,1,No,13,3,2,1,14,2,2,14,8,3,11
856,1198,Male,Life Sciences,20,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,805,3,3,1,87,2,1,3,3033,12828,1,No,12,3,1,0,2,2,2,2,2,1,2
857,1200,Male,Life Sciences,44,Single,Research & Development,Research Scientist,Yes,Travel_Rarely,1097,10,4,3,96,3,1,3,2936,10826,1,Yes,11,3,3,0,6,4,3,6,4,0,2
858,1201,Female,Medical,53,Divorced,Research & Development,Manager,No,Travel_Rarely,1223,7,2,4,50,3,5,3,18606,18640,3,No,18,3,2,1,26,6,3,7,7,4,7
859,1202,Female,Life Sciences,29,Married,Research & Development,Research Scientist,No,Travel_Rarely,942,15,1,2,69,1,1,4,2168,26933,0,Yes,18,3,1,1,6,2,2,5,4,1,3
860,1203,Male,Life Sciences,22,Married,Research & Development,Research Scientist,Yes,Travel_Frequently,1256,3,4,3,48,2,1,4,2853,4223,0,Yes,11,3,2,1,1,5,3,0,0,0,0
861,1204,Female,Marketing,46,Married,Sales,Manager,No,Travel_Rarely,1402,2,3,3,69,3,4,1,17048,24097,8,No,23,4,1,0,28,2,3,26,15,15,9
862,1206,Male,Life Sciences,44,Single,Research & Development,Research Scientist,No,Non-Travel,111,17,3,4,74,1,1,3,2290,4279,2,No,13,3,4,0,6,3,3,0,0,0,0
863,1207,Male,Human Resources,33,Married,Human Resources,Human Resources,No,Travel_Rarely,147,2,3,2,99,3,1,3,3600,8429,1,No,13,3,4,1,5,2,3,5,4,1,4
864,1210,Male,Life Sciences,41,Divorced,Research & Development,Research Scientist,Yes,Non-Travel,906,5,2,1,95,2,1,1,2107,20293,6,No,17,3,1,1,5,2,1,1,0,0,0
865,1211,Male,Life Sciences,30,Divorced,Sales,Sales Executive,No,Travel_Rarely,1329,29,4,3,61,3,2,1,4115,13192,8,No,19,3,3,3,8,3,3,4,3,0,3
866,1212,Male,Medical,40,Married,Sales,Sales Executive,No,Travel_Frequently,1184,2,4,2,62,3,2,2,4327,25440,5,No,12,3,4,3,5,2,3,0,0,0,0
867,1215,Female,Medical,50,Married,Research & Development,Manager,No,Travel_Frequently,1421,2,3,4,30,3,4,1,17856,9490,2,No,22,4,3,1,32,3,3,2,2,2,2
868,1216,Male,Medical,28,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1179,19,4,4,78,2,1,1,3196,12449,1,No,12,3,3,3,6,2,3,6,5,3,3
869,1217,Male,Life Sciences,46,Married,Research & Development,Research Director,No,Travel_Rarely,1450,15,2,4,52,3,5,2,19081,10849,5,No,11,3,1,1,25,2,3,4,2,0,3
870,1218,Male,Life Sciences,35,Married,Sales,Sales Executive,No,Travel_Rarely,1361,17,4,3,94,3,2,1,8966,21026,3,Yes,15,3,4,3,15,2,3,7,7,1,7
871,1219,Female,Life Sciences,24,Married,Research & Development,Laboratory Technician,Yes,Travel_Rarely,984,17,2,4,97,3,1,2,2210,3372,1,No,13,3,1,1,1,3,1,1,0,0,0
872,1220,Female,Medical,33,Married,Sales,Sales Executive,No,Travel_Frequently,1146,25,3,2,82,3,2,3,4539,4905,1,No,12,3,1,1,10,3,2,10,7,0,1
873,1221,Male,Life Sciences,36,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,917,6,4,3,60,1,1,3,2741,6865,1,No,14,3,3,1,7,4,3,7,7,1,7
874,1224,Male,Life Sciences,30,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,853,7,4,3,49,3,2,3,3491,11309,1,No,13,3,1,3,10,4,2,10,7,8,9
875,1225,Male,Other,44,Single,Research & Development,Research Scientist,No,Travel_Rarely,200,29,4,4,32,3,2,4,4541,7744,1,No,25,4,2,0,20,3,3,20,11,13,17
876,1226,Male,Marketing,20,Single,Sales,Sales Representative,No,Travel_Rarely,654,21,3,3,43,4,1,4,2678,5050,1,No,17,3,4,0,2,2,3,2,1,2,2
877,1228,Male,Technical Degree,46,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,150,2,4,4,60,3,2,4,7379,17433,2,No,11,3,3,1,12,3,2,6,3,1,4
878,1231,Male,Medical,42,Married,Human Resources,Human Resources,No,Non-Travel,179,2,5,4,79,4,2,1,6272,12858,7,No,16,3,1,1,10,3,4,4,3,0,3
879,1233,Male,Marketing,60,Divorced,Sales,Sales Executive,No,Travel_Rarely,696,7,4,2,52,4,2,4,5220,10893,0,Yes,18,3,2,1,12,3,3,11,7,1,9
880,1234,Female,Other,32,Married,Research & Development,Laboratory Technician,No,Travel_Frequently,116,13,3,3,77,2,1,2,2743,7331,1,No,20,4,3,1,2,2,3,2,2,2,2
881,1235,Female,Life Sciences,32,Single,Research & Development,Research Scientist,No,Travel_Frequently,1316,2,2,4,38,3,2,3,4998,2338,4,Yes,14,3,4,0,10,2,3,8,7,0,7
882,1237,Female,Technical Degree,36,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,363,1,3,3,77,1,3,1,10252,4235,2,Yes,21,4,3,1,17,2,3,7,7,7,7
883,1238,Male,Medical,33,Married,Research & Development,Research Scientist,No,Travel_Rarely,117,9,3,1,60,3,1,4,2781,6311,0,No,13,3,2,1,15,5,3,14,10,4,10
884,1239,Female,Technical Degree,40,Divorced,Sales,Sales Executive,No,Travel_Rarely,107,10,3,2,84,2,2,2,6852,11591,7,No,12,3,2,1,7,2,4,5,1,1,3
885,1240,Male,Life Sciences,25,Single,Sales,Sales Executive,No,Travel_Rarely,1356,10,4,3,57,3,2,4,4950,20623,0,No,14,3,2,0,5,4,3,4,3,1,1
886,1241,Male,Medical,30,Married,Research & Development,Research Scientist,No,Travel_Rarely,1465,1,3,4,63,3,1,2,3579,9369,0,Yes,21,4,1,1,12,2,3,11,9,5,7
887,1242,Female,Medical,42,Married,Research & Development,Research Director,No,Travel_Frequently,458,26,5,1,60,3,3,1,13191,23281,3,Yes,17,3,3,0,20,6,3,1,0,0,0
888,1243,Female,Marketing,35,Married,Sales,Sales Executive,No,Non-Travel,1212,8,2,3,78,2,3,4,10377,13755,4,Yes,11,3,2,1,16,6,2,13,2,4,12
889,1244,Male,Life Sciences,27,Married,Research & Development,Research Scientist,No,Travel_Rarely,1103,14,3,1,42,3,1,1,2235,14377,1,Yes,14,3,4,2,9,3,2,9,7,6,8
890,1245,Female,Life Sciences,54,Divorced,Research & Development,Manufacturing Director,No,Travel_Frequently,966,1,4,4,53,3,3,3,10502,9659,7,No,17,3,1,1,33,2,1,5,4,1,4
891,1246,Female,Life Sciences,44,Married,Research & Development,Research Scientist,No,Travel_Rarely,1117,2,1,1,72,4,1,4,2011,19982,1,No,13,3,4,1,10,5,3,10,5,7,7
892,1248,Female,Medical,19,Single,Research & Development,Research Scientist,Yes,Non-Travel,504,10,3,1,96,2,1,2,1859,6148,1,Yes,25,4,2,0,1,2,4,1,1,0,0
893,1249,Female,Life Sciences,29,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1010,1,3,1,97,3,1,4,3760,5598,1,No,15,3,1,3,3,5,3,3,2,1,2
894,1250,Male,Life Sciences,54,Married,Research & Development,Research Director,No,Travel_Rarely,685,3,3,4,85,3,4,4,17779,23474,3,No,14,3,1,0,36,2,3,10,9,0,9
895,1251,Male,Medical,31,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,1332,11,2,3,80,3,2,1,6833,17089,1,Yes,12,3,4,0,6,2,2,6,5,0,1
896,1252,Female,Medical,31,Single,Research & Development,Healthcare Representative,No,Travel_Rarely,1062,24,3,3,96,2,2,1,6812,17198,1,No,19,3,2,0,10,2,3,10,9,1,8
897,1254,Female,Life Sciences,59,Single,Sales,Sales Executive,No,Travel_Rarely,326,3,3,3,48,2,2,4,5171,16490,5,No,17,3,4,0,13,2,3,6,1,0,5
898,1255,Male,Life Sciences,43,Married,Research & Development,Research Director,No,Travel_Rarely,920,3,3,3,96,1,5,4,19740,18625,3,No,14,3,2,1,25,2,3,8,7,0,7
899,1256,Male,Medical,49,Married,Research & Development,Manager,No,Travel_Rarely,1098,4,2,1,85,2,5,3,18711,12124,2,No,13,3,3,1,23,2,4,1,0,0,0
900,1257,Male,Technical Degree,36,Married,Research & Development,Research Scientist,No,Travel_Frequently,469,3,3,3,46,3,1,2,3692,9256,1,No,12,3,3,0,12,2,2,11,10,0,7
901,1258,Male,Technical Degree,48,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,969,2,2,4,76,4,1,2,2559,16620,5,No,11,3,3,0,7,4,2,1,0,0,0
902,1259,Male,Life Sciences,27,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1167,4,2,1,76,3,1,3,2517,3208,1,No,11,3,2,3,5,2,3,5,3,0,3
903,1260,Male,Life Sciences,29,Divorced,Research & Development,Healthcare Representative,No,Travel_Rarely,1329,7,3,3,82,3,2,4,6623,4204,1,Yes,11,3,2,2,6,2,3,6,0,1,0
904,1263,Male,Life Sciences,48,Single,Research & Development,Research Director,No,Travel_Rarely,715,1,3,4,76,2,5,4,18265,8733,6,No,12,3,3,0,25,3,4,1,0,0,0
905,1264,Female,Life Sciences,29,Divorced,Research & Development,Research Director,No,Travel_Rarely,694,1,3,4,87,2,4,4,16124,3423,3,No,14,3,2,2,9,2,2,7,7,1,7
906,1265,Female,Technical Degree,34,Married,Research & Development,Research Scientist,No,Travel_Rarely,1320,20,3,3,89,4,1,3,2585,21643,0,No,17,3,4,0,2,5,2,1,0,0,0
907,1267,Male,Marketing,44,Married,Sales,Manager,No,Travel_Rarely,1099,5,3,2,88,3,5,2,18213,8751,7,No,11,3,3,1,26,5,3,22,9,3,10
908,1268,Male,Marketing,33,Divorced,Sales,Sales Executive,No,Travel_Rarely,536,10,5,4,82,4,3,3,8380,21708,0,Yes,14,3,4,2,10,3,3,9,8,0,8
909,1269,Female,Life Sciences,19,Single,Research & Development,Research Scientist,No,Travel_Rarely,265,25,3,2,57,4,1,4,2994,21221,1,Yes,12,3,4,0,1,2,3,1,0,0,1
910,1270,Male,Life Sciences,23,Married,Research & Development,Research Scientist,No,Travel_Rarely,373,1,2,4,47,3,1,3,1223,16901,1,No,22,4,4,1,1,2,3,1,0,0,1
911,1273,Male,Life Sciences,25,Single,Sales,Sales Representative,Yes,Travel_Frequently,599,24,1,3,73,1,1,4,1118,8040,1,Yes,14,3,4,0,1,4,3,1,0,1,0
912,1275,Male,Life Sciences,26,Single,Research & Development,Research Scientist,No,Travel_Rarely,583,4,2,3,53,3,1,4,2875,9973,1,Yes,20,4,2,0,8,2,2,8,5,2,2
913,1277,Female,Marketing,45,Single,Sales,Manager,Yes,Travel_Rarely,1449,2,3,1,94,1,5,2,18824,2493,2,Yes,16,3,1,0,26,2,3,24,10,1,11
914,1278,Male,Medical,55,Divorced,Research & Development,Healthcare Representative,No,Non-Travel,177,8,1,4,37,2,4,2,13577,25592,1,Yes,15,3,4,1,34,3,3,33,9,15,0
915,1279,Female,Life Sciences,21,Single,Research & Development,Laboratory Technician,Yes,Travel_Frequently,251,10,2,1,45,2,1,3,2625,25308,1,No,20,4,3,0,2,2,1,2,2,2,2
916,1280,Female,Marketing,46,Married,Sales,Manager,No,Travel_Rarely,168,4,2,4,33,2,5,2,18789,9946,2,No,14,3,3,1,26,2,3,11,4,0,8
917,1281,Female,Marketing,34,Single,Sales,Sales Executive,No,Travel_Rarely,131,2,3,3,86,3,2,1,4538,6039,0,Yes,12,3,4,0,4,3,3,3,2,0,2
918,1282,Male,Life Sciences,51,Divorced,Sales,Manager,No,Travel_Frequently,237,9,3,4,83,3,5,2,19847,19196,4,Yes,24,4,1,1,31,5,2,29,10,11,10
919,1283,Male,Medical,59,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,1429,18,4,4,67,3,3,4,10512,20002,6,No,12,3,4,0,25,6,2,9,7,5,4
920,1285,Female,Medical,34,Divorced,Research & Development,Laboratory Technician,No,Travel_Frequently,135,19,3,3,46,3,2,2,4444,22534,4,No,13,3,3,2,15,2,4,11,8,5,10
921,1286,Male,Medical,28,Single,Research & Development,Laboratory Technician,No,Travel_Frequently,791,1,4,4,44,3,1,3,2154,6842,0,Yes,11,3,3,0,5,2,2,4,2,0,2
922,1288,Male,Life Sciences,44,Divorced,Research & Development,Manager,No,Travel_Rarely,1199,4,2,3,92,4,5,1,19190,17477,1,No,14,3,4,2,26,4,2,25,9,14,13
923,1289,Male,Life Sciences,34,Married,Human Resources,Human Resources,No,Travel_Frequently,648,11,3,3,56,2,2,2,4490,21833,4,No,11,3,4,2,14,5,4,10,9,1,8
